time;X_value;Y_value;Z_value
1,3544;6,11258;-2,57145;4,90587
1,3544;6,1078;-2,59061;4,82446
1,3544;6,1078;-2,59061;4,82446
1,3561;6,08625;-2,66483;4,70714
1,3575;6,0623;-2,71271;4,62095
1,36;6,05512;-2,81327;4,5994
1,3616;6,01442;-2,91623;4,57306
1,3649;5,98808;-2,98566;4,56828
1,3658;5,95696;-3,12213;4,56349
1,3679;5,90189;-3,27297;4,58982
1,375;5,82766;-3,49325;4,52997
1,375;5,82766;-3,49325;4,52997
1,375;5,78696;-3,5531;4,27378
1,3771;5,73189;-3,64409;4,00083
1,3784;5,70316;-3,8069;4,17801
1,3802;5,6888;-3,90267;4,4342
