time;X_value;Y_value;Z_value
0,9083;-1,46051;-3,14368;11,52604
0,914;-1,56346;-3,21551;11,50449
0,9142;-1,56346;-3,21551;11,50449
0,9191;-1,63768;-3,20354;11,49252
0,9191;-1,81486;-3,18199;11,46139
0,9192;-1,91063;-3,16044;11,45421
0,9213;-2,13809;-3,11016;11,42069
0,9226;-2,39427;-3,03594;11,37041
0,9246;-2,51399;-3,00003;11,3321
0,9267;-2,75342;-2,89468;11,26267
0,9284;-2,9713;-2,78454;11,15493
0,9344;-3,32804;-2,59779;10,97775
0,9344;-3,44297;-2,54033;10,92029
0,936;-3,44297;-2,54033;10,92029
0,9371;-3,67282;-2,44216;10,8293
0,9393;-3,92182;-2,34878;10,81254
0,9408;-4,02478;-2,31048;10,80297
0,9431;-4,1421;-2,23865;10,75269
0,9453;-4,16604;-2,17879;10,65213
0,9477;-4,16364;-2,15724;10,57312
0,9499;-4,11336;-2,12133;10,42467
0,9541;-3,96013;-2,09738;10,27623
0,9542;-3,90267;-2,0902;10,27144
0,9547;-3,84521;-2,09499;10,27383
0,9569;-3,79732;-2,09738;10,29538
0,9591;-3,69915;-2,11414;10,40312
0,9609;-3,62493;-2,11175;10,54918
0,9629;-3,59381;-2,12612;10,60664
0,9649;-3,54353;-2,18358;10,64495
0,9673;-3,45973;-2,26498;10,60185
0,9693;-3,45733;-2,34878;10,42707
0,9734;-3,2634;-3,17241;8,14772
0,9735;-3,2634;-3,17241;8,14772
0,9746;-3,19636;-3,49804;7,42943
0,9785;-3,16284;-3,71591;6,23948
0,9791;-3,29452;-3,78774;5,8133
0,9812;-3,72789;-3,90746;5,25064
0,9827;-4,17562;-4,02238;5,02558
0,9853;-4,37195;-4,06069;5,04953
0,9887;-4,77658;-4,10139;5,15008
0,9894;-4,95375;-4,099;5,17403
0,997;-5,54753;-4,06069;5,04474
0,9971;-5,54753;-4,06069;5,04474
0,9971;-5,67683;-4,08463;4,81967
0,9971;-5,8971;-4,10858;4,15646
0,9997;-6,0647;-4,03914;3,35917
1,0018;-6,14131;-3,98647;2,96172
1,0027;-6,22511;-3,84281;2,37991
1,0057;-6,24906;-3,73267;2,30569
1,0086;-6,29455;-3,50282;2,40864
1,009;-6,25385;-3,25861;2,85158
1,0152;-6,09582;-2,87074;3,98168
1,016;-6,07428;-2,71511;4,47729
1,018;-6,08146;-2,58103;4,94897
1,018;-6,05752;-2,48526;5,35839
1,0191;-6,02878;-2,32005;6,1054
1,0209;-6,0623;-2,26498;6,70636
1,0235;-6,07188;-2,23386;6,9841
1,0255;-6,20835;-2,26259;7,36479
1,0284;-6,273;-2,3416;7,47253
1,0294;-6,46215;-2,45413;7,69999
1,039;-6,79016;-2,82285;7,8628
1,039;-6,79016;-2,82285;7,8628
1,0391;-6,83805;-2,98087;7,95139
1,0391;-7,05353;-3,18678;8,12377
1,0397;-7,18522;-3,27537;8,13096
1,0412;-7,19958;-3,51719;7,96336
1,0464;-7,13494;-3,62014;7,91547
1,0464;-7,03438;-3,81887;7,96815
1,0477;-6,97931;-3,87394;8,21715
1,0486;-6,90988;-3,85957;8,30334
1,0555;-6,11019;-3,71831;8,43503
1,0556;-6,11019;-3,71831;8,43503
1,0579;-6,32328;-3,64648;8,57869
1,0579;-6,45497;-3,38311;8,42785
1,0596;-6,6058;-3,28495;8,20757
1,0613;-6,74228;-3,0934;7,82688
1,0637;-6,88833;-2,98805;7,35761
1,0654;-6,91467;-2,97848;7,10621
1,0671;-6,96016;-3,0096;6,58665
1,0688;-7,01523;-3,01918;6,17723
1,0761;-7,28578;-2,99284;5,7726
1,0762;-7,4007;-3,00721;5,6864
1,0762;-7,52281;-3,00721;5,6864
1,0769;-7,65689;-3,05031;5,5188
1,0794;-8,01124;-3,1365;5,43022
1,0808;-8,21955;-3,18199;5,37515
1,083;-8,66967;-3,29452;5,18839
1,0848;-8,79896;-3,33283;4,87235
1,0869;-8,98811;-3,46212;4,78137
1,0888;-9,44781;-3,78295;5,02319
1,0942;-9,67287;-4,16364;6,09582
1,0943;-9,6202;-4,23547;6,5651
1,0972;-9,534;-4,31688;6,99607
1,0973;-9,45499;-4,42462;7,39592
1,099;-9,28979;-4,71433;8,12138
1,1008;-9,06951;-5,07347;8,78459
1,1028;-8,96416;-5,24586;9,10303
1,1053;-9,04557;-5,54275;9,61301
1,1067;-8,84206;-5,84203;9,81174
1,1096;-8,60502;-6,04315;9,81174
1,1147;-8,02561;-6,63693;9,4526
1,1147;-8,02561;-6,63693;9,4526
1,1149;-7,96815;-6,6896;9,29936
1,1167;-7,8197;-6,69439;8,97614
1,1186;-7,79576;-6,6489;8,81572
1,1209;-7,75984;-6,522;8,43264
1,1237;-7,76224;-6,33525;7,96815
1,1256;-7,79815;-6,22272;7,73111
1,1272;-7,69999;-5,8971;7,24029
1,1289;-7,83646;-5,72711;7,07987
1,1346;-7,57788;-5,18361;6,26821
1,1346;-7,57788;-5,18361;6,26821
1,1353;-7,43901;-5,04953;6,00963
1,1369;-7,26423;-4,77658;5,51401
1,1399;-7,1948;-4,54433;5,1453
1,1408;-7,21395;-4,45335;5,01122
1,1444;-7,28099;-4,32885;4,79813
1,1452;-7,35521;-4,30251;4,7239
1,1479;-7,50366;-4,25941;4,60419
1,1489;-7,62337;-4,2642;4,4342
1,1543;-7,82449;-4,31688;4,13252
1,1552;-7,90111;-4,34082;4,0128
1,1552;-7,99688;-4,36237;3,90506
1,1595;-8,08307;-4,37434;3,80211
1,1605;-8,23631;-4,42941;3,61775
1,1621;-8,40151;-4,44617;3,46452
1,1633;-8,47334;-4,50603;3,39987
1,1656;-8,62418;-4,57067;3,31846
1,1674;-8,69361;-4,61616;3,31128
1,1721;-8,85163;-4,68799;3,33044
1,1765;-9,17247;-4,76221;3,51958
1,1766;-9,17247;-4,76221;3,51958
1,1766;-9,25148;-4,74545;3,56029
1,1769;-9,46696;-4,71912;3,67761
1,1791;-9,57231;-4,70475;3,75183
1,1814;-9,76864;-4,67123;3,87394
1,1838;-9,90033;-4,66405;3,92182
1,1865;-10,19722;-4,66644;4,00802
1,1866;-10,42707;-4,67602;4,08463
1,1893;-10,5396;-4,67362;4,11336
1,1945;-10,80776;-4,62095;4,24505
1,1946;-10,80776;-4,62095;4,24505
1,1962;-10,90113;-4,58025;4,28336
1,1972;-11,13338;-4,57546;4,34561
1,199;-11,0807;-4,56349;4,31209
1,2008;-10,89874;-4,55152;4,1397
1,2029;-10,75269;-4,52279;4,00562
1,2057;-10,65692;-4,50124;3,95534
1,2073;-10,4534;-4,40547;3,94337
1,2088;-10,25468;-4,35758;3,9745
1,2149;-10,05356;-4,41265;4,06308
1,2149;-10,02962;-4,41265;4,06308
1,2161;-10,03201;-4,45575;4,08942
1,2173;-10,06793;-4,50603;4,14449
1,2189;-10,23792;-4,50124;4,16843
1,2208;-10,35284;-4,48927;4,16843
1,2238;-10,60424;-4,41504;4,15886
1,2263;-10,85564;-4,34321;4,12055
1,2274;-10,98733;-4,31209;4,0966
1,2295;-11,17647;-4,28336;4,01759
1,235;-11,43266;-4,24744;3,64409
1,235;-11,43266;-4,24505;3,64409
1,235;-11,48055;-4,23547;3,52198
1,2371;-11,51646;-4,22589;3,39269
1,2394;-11,57153;-4,17801;3,16284
1,2414;-11,62899;-4,09421;2,96411
1,2436;-11,67209;-4,0559;2,87792
1,2455;-11,74871;-3,98886;2,74384
1,248;-11,89476;-3,92422;2,59061
1,2492;-11,94743;-3,87873;2,50202
1,2569;-12,20122;-3,79971;2,08062
1,2569;-12,20122;-3,79971;2,08062
1,2569;-12,27066;-3,78535;2,00161
1,2584;-12,39756;-3,79732;1,87472
1,2598;-12,47178;-3,81887;1,82444
1,2616;-12,5891;-3,82366;1,75021
1,2656;-12,66811;-3,80929;1,70712
1,2656;-12,72078;-3,80929;1,69994
1,2688;-12,86683;-3,84042;1,68796
1,269;-12,95303;-3,86675;1,69515
1,2762;-13,40794;-3,95055;1,80289
1,2762;-13,40794;-3,95055;1,80289
1,2762;-13,57075;-3,9745;1,82683
1,2781;-13,9275;-3,98647;1,86035
1,2787;-14,24594;-3,95774;1,91063
1,2814;-14,39677;-3,91464;1,97767
1,2878;-14,60268;-3,81408;2,09738
1,2878;-14,66972;-3,76619;2,0902
1,2878;-14,82296;-3,69197;1,95612
1,2893;-14,91154;-3,56747;1,79331
1,2944;-14,93788;-3,39748;1,65444
1,2944;-14,95464;-3,37353;1,63529
1,2951;-14,97858;-3,36396;1,62092
1,2973;-15,00731;-3,3472;1,61135
1,3004;-15,07196;-3,28255;1,59459
1,3028;-15,15337;-3,25621;1,57064
1,3033;-15,19646;-3,17241;1,57304
1,3059;-15,43589;-3,20354;1,69754
1,3077;-15,48378;-3,18439;1,73106
1,3088;-15,53884;-3,12453;1,69515
1,3136;-15,61067;-2,96172;1,2115
